시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
천안시 서북구,충청남도,베니키아 천안호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=056de831-04b2-426a-a86c-412e8976bc77,숙박,숙박시설,모텔,36
천안시 서북구,충청남도,청미래,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=798ad8c9-6cf8-4e59-9481-ead5acb333f0,음식,음식점,한식,36
천안시 서북구,충청남도,고바우순두부쌈장 천안본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=556ac5f9-1da4-453d-8186-87a54979777d,음식,음식점,한식,35
천안시 서북구,충청남도,수원참갈비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d7925c93-2743-41ad-b549-be1a07c8e2ae,음식,음식점,한식,35
천안시 서북구,충청남도,유미초밥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f714baef-0bd4-4a43-8ca4-d37649681645,음식,음식점,일식,35
천안시 서북구,충청남도,슈엔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=540dbf9c-8d7a-4829-ba0a-d7ac9e3b9cfa,음식,음식점,중식,34
천안시 서북구,충청남도,엔타스시 천안본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a289c33-93d4-4ab8-a1c5-e77e4cb026bc,음식,음식점,일식,33
천안시 서북구,충청남도,피양옥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e2fce2b5-ea9d-4181-8b6b-fedc3a6b1c30,음식,음식점,한식,33
천안시 서북구,충청남도,동순원 성환본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4a6321da-c1ef-4061-ace9-0358cda8a9cf,음식,음식점,중식,32
천안시 서북구,충청남도,아리랑 숯불갈비이야기,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4f47da4b-8632-4015-977b-0a67d2229d13,음식,음식점,한식,32
천안시 서북구,충청남도,명동보리밥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3017752f-b26a-4892-86d9-78544ed679e6,음식,음식점,한식,31
천안시 서북구,충청남도,모미지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e9b4f860-219b-4ba0-a3a1-d7fb9db30741,음식,음식점,일식,29
천안시 서북구,충청남도,영수테이블,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8ec24274-78a8-4aed-8839-7f0bb3ca3eb3,음식,음식점,한식,29
천안시 서북구,충청남도,곤드레찜드레 두정본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c809f225-44f6-40e2-8cca-5ef96b06b068,음식,음식점,한식,27
천안시 서북구,충청남도,소사벌소한마리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ead13d34-b1a8-47fa-a1ea-8f75d17244d0,음식,음식점,한식,27
천안시 서북구,충청남도,품 안,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a73162a5-fe2f-4d4c-8f3a-02b3704c595d,음식,음식점,일식,26
천안시 서북구,충청남도,꽃비본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f104aaa5-5162-4492-8b94-541f88041fca,음식,음식점,일식,25
천안시 서북구,충청남도,골드문참치,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b8a45860-02c5-4f0e-8421-a807985482c5,음식,음식점,일식,25
천안시 서북구,충청남도,자자호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7c97c052-5467-4c10-be60-097a487f0a08,숙박,숙박시설,모텔,22
천안시 서북구,충청남도,공주집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=66db07df-f516-4511-b7ab-95bf56cbad8e,음식,음식점,한식,21
천안시 서북구,충청남도,일이이사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=188126e4-f192-46bc-9487-c2d9ae174bf2,음식,음식점,한식,21
천안시 서북구,충청남도,매주리커피,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f57184c9-2ec2-4321-ad31-9529df04ec30,음식,음식점,카페/전통찻집,20
천안시 서북구,충청남도,불당호치민,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=930539d1-de8e-49d0-bd4e-47386442991c,음식,음식점,이색음식점,20
천안시 서북구,충청남도,입장한우정,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7f19a6e2-8d56-447a-a5aa-394e61b46cb8,음식,음식점,한식,20
천안시 서북구,충청남도,호텔여기어때 천안성정점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fe22b764-ae04-4eba-af5f-39cf4cb6b627,숙박,숙박시설,모텔,20
천안시 서북구,충청남도,콤폰,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79503e58-a831-441b-b771-81bbfba776b3,음식,음식점,일식,18
천안시 서북구,충청남도,삼보어죽 본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e02b7bb1-d88a-4f0c-bc48-2e29cb7934a2,음식,음식점,한식,17
천안시 서북구,충청남도,영원식당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=edd57d72-6d98-42d9-bcf0-188fceacd36e,음식,음식점,한식,17
