언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중간체,천안시 동남구,충청남도,天安?立?念?(천안 독립기념관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331669,인문(문화/예술/역사),문화시설,기념관,94
중간체,천안시 동남구,충청남도,?德寺(天安)광덕사(천안),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331480,인문(문화/예술/역사),역사관광지,사찰,17
중간체,천안시 동남구,충청남도,?愿寺(각원사),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331479,인문(문화/예술/역사),역사관광지,사찰,16
중간체,천안시 동남구,충청남도,Sono Belle天安海洋公?소노벨 천안 오션파크,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1144589,인문(문화/예술/역사),휴양관광지,테마공원,9
중간체,천안시 동남구,충청남도,天安常?度假村(천안상록리조트),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=615589,인문(문화/예술/역사),휴양관광지,관광단지,7
중간체,천안시 동남구,충청남도,?民族?史文化公?(한민족역사문화공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=984080,인문(문화/예술/역사),휴양관광지,공원,4
중간체,천안시 동남구,충청남도,野花(들꽃),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=920012,음식,음식점,한식,2
중간체,천안시 동남구,충청남도,天安三?口公?천안삼거리공원,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2424410,인문(문화/예술/역사),휴양관광지,공원,1
