언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,천안시 서북구,충청남도,ギャラリア百貨店（センタ?シティ店）（갤러리아백화점（센터시티점））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=978287,쇼핑,쇼핑,백화점,64
일본어,천안시 서북구,충청남도,嗜?the辛味カルビの蒸し物 ( 기린더매운갈비찜 ),https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2670253,음식,음식점,한식,5
일본어,천안시 서북구,충청남도,もみじ（모미지）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=942262,음식,음식점,일식,4
일본어,천안시 서북구,충청남도,サンイネリンバプサンゴンドゥレバプジプ ( 산이내린밥상곤드레밥집 ),https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2670232,음식,음식점,한식,2
