언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중간체,천안시 서북구,충청남도,Galleria百?店(中心城市店)갤러리아 백화점(센터시티점),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=713132,쇼핑,쇼핑,백화점,4
중간체,천안시 서북구,충청남도,嗜?the辣?排骨 ( 기린더매운갈비찜 ),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2670254,음식,음식점,한식,3
중간체,천안시 서북구,충청남도,ON城市酒店(ON City Hotel)[??旅游品???/Korea Quality]（오엔시티호텔[한국관광 품질인증/Korea Quality]),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2671909,숙박,숙박시설,모텔,1
