숙박업소명,상세주소,카테고리,위도,경도
소노벨천안,종합휴양지로 200,콘도미니엄,0,0
더메인즈호텔,청수11로 34,호텔,0,0
독립기념관야영장,독립기념관로 1,캠핑,0,0
상록호텔,수신로 576,호텔,0,0
브라운도트호텔천안터미널점,신부3길 25,호텔,0,0
웨스턴호텔,신부2길 25,호텔,0,0
아우내관광농원 캠핑장,관성3길 267-39,캠핑,0,0
천안국민여가캠핑장,교촌7길 46-13,캠핑,0,0
호두나무캠핑장,해사동길 15,캠핑,0,0
호텔캄캄,신부2길 31,호텔,0,0
광덕산간이캠핑장,광풍로 703-38,캠핑,0,0
천안몽각산힐링뷰캠핑장,덕성1길 147,캠핑,0,0
삼방723펜션,삼방로 723,펜션/민박,0,0
천안프렌즈애견풀빌라빌리지,삼방로 911-3,펜션/민박,0,0
원플러스호텔,충절로 902,호텔,0,0
반딧불이키즈풀빌라,만남의길 20-1,펜션/민박,0,0
무지개캠핑장,문암로 224,캠핑,0,0
몽키캠핑장,삼방로 1163-1,캠핑,0,0
