시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
천안시 동남구,충청남도,각원사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e6e933be-343e-4b80-837e-693273dcc8df,인문(문화/예술/역사),역사관광지,사찰,5533
천안시 동남구,충청남도,독립기념관단풍나무숲길(단풍나무숲길독립기념관),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=07c34749-78f0-498c-9940-c3c32d40ec9c,인문(문화/예술/역사),문화시설,기념관,4620
천안시 동남구,충청남도,아름다운정원 화수목,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a77995a4-586c-4380-a418-d1019176a093,자연,자연관광지,수목원,4074
천안시 동남구,충청남도,천안 중앙시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0b906bb8-1a12-4abf-969a-699ce53b2f89,쇼핑,쇼핑,상설시장,3078
천안시 동남구,충청남도,천안상록리조트 아쿠아피아,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ea8fdc2-e1a3-491f-af49-2d11f53f92c6,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,2008
천안시 동남구,충청남도,소노벨 천안 오션어드벤처,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c307239-221c-457a-915b-47b97d5bb3bf,인문(문화/예술/역사),휴양관광지,테마공원,1646
천안시 동남구,충청남도,천안상록리조트 눈썰매장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cf2c99a5-a4e5-469d-a97f-ac658f70563e,레포츠,육상 레포츠,썰매장,1468
천안시 동남구,충청남도,독립기념관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6c142ad1-eb98-4d60-ac17-986fae54f608,인문(문화/예술/역사),문화시설,기념관,1001
천안시 동남구,충청남도,화진담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3a22b854-a3ce-4382-b3fc-633ec5462e5e,음식,음식점,카페/전통찻집,919
천안시 동남구,충청남도,뚜쥬루과자점 돌가마점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=907efdc5-40f0-4a31-bb61-60f370ef4fc4,음식,음식점,카페/전통찻집,814
천안시 동남구,충청남도,천안박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a4ba15c8-b4af-4355-bdba-697a351a7412,인문(문화/예술/역사),문화시설,박물관,765
천안시 동남구,충청남도,아우내장 / 병천5일장 (1_ 6일),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bdadd3cc-3e99-4581-8af8-e1ae569629a3,쇼핑,쇼핑,5일장,759
천안시 동남구,충청남도,천안 병천순대거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1dd2654d-103c-4ea6-ad5d-3dc938826f05,인문(문화/예술/역사),체험관광지,이색거리,715
천안시 동남구,충청남도,오션수영장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a75cb3a6-7152-4732-8853-61840e8bb47b,레포츠,수상 레포츠,수영,698
천안시 동남구,충청남도,태학산오토캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=95cc802b-aef4-4b87-86d1-0e99cf048ab0,레포츠,육상 레포츠,야영장_오토캠핑장,695
천안시 동남구,충청남도,천안상록리조트,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fff047d0-5035-496f-ab9b-64678f1115be,인문(문화/예술/역사),휴양관광지,관광단지,687
천안시 동남구,충청남도,천안예술의전당 미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a24ba2d-ffe6-4561-b943-51e3ad27c239,인문(문화/예술/역사),문화시설,미술관/화랑,659
천안시 동남구,충청남도,천안국민여가캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=caddbdea-45c5-46de-bbf2-b258650f7bf5,레포츠,육상 레포츠,야영장_오토캠핑장,657
천안시 동남구,충청남도,천안북면계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a0a38602-7e06-474e-8474-29c95ad0f9ed,자연,자연관광지,계곡,631
천안시 동남구,충청남도,천안상록 유스호스텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b5ee1177-34d3-4c4d-bb09-aba27770c880,숙박,숙박시설,유스호스텔,611
천안시 동남구,충청남도,성불사(천안),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6228f60b-b9ab-456d-9010-2601e2fb270e,인문(문화/예술/역사),역사관광지,사찰,558
천안시 동남구,충청남도,아우내관광농원캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ce6513c9-b34c-4ad9-a358-5589afc5b88f,레포츠,육상 레포츠,야영장_오토캠핑장,541
천안시 동남구,충청남도,덕암교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d0e418bd-5156-4d53-8c66-5a9f2047f500,인문(문화/예술/역사),건축/조형물,다리/대교,539
천안시 동남구,충청남도,천호지(단대호수),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ba5ea2af-687f-4406-947c-179a3113b983,자연,자연관광지,호수,493
천안시 동남구,충청남도,천안시 태조산청소년수련관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5261a65b-1c4e-4445-8165-4964b3f1640b,레포츠,육상 레포츠,수련시설,483
천안시 동남구,충청남도,태학산자연휴양림,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=366ba05d-7684-472f-913f-a65ff1243b1e,자연,자연관광지,자연휴양림,465
천안시 동남구,충청남도,충청남도 안전체험관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61a68660-3e62-4bbf-8cd6-b5575043c7c2,인문(문화/예술/역사),체험관광지,이색체험,407
천안시 동남구,충청남도,천안 병천순대거리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1dd2654d-103c-4ea6-ad5d-3dc938826f05,인문(문화/예술/역사),체험관광지,이색체험,399
천안시 동남구,충청남도,천안 유관순 열사 유적,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b477c87b-58b4-46e6-abfa-72f3f3daa8f2,인문(문화/예술/역사),역사관광지,유적지/사적지,396
천안시 동남구,충청남도,광덕사(천안),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=375c42d4-f893-40ca-b4a8-62ffb356bfda,인문(문화/예술/역사),역사관광지,사찰,390
천안시 동남구,충청남도,독립기념관 캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88837e75-d93c-4a10-8927-5b04acbfa4f0,레포츠,육상 레포츠,야영장_오토캠핑장,361
천안시 동남구,충청남도,국립중앙청소년수련원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=03561993-34ae-4121-8cf4-5446e129f9a6,레포츠,육상 레포츠,수련시설,321
천안시 동남구,충청남도,신방공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=947578fe-6b38-4c6c-b8e8-a45c11e64c85,인문(문화/예술/역사),휴양관광지,공원,315
천안시 동남구,충청남도,청수호수공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02b61d5b-df83-4f00-916a-afb5ecc543d3,인문(문화/예술/역사),휴양관광지,공원,306
천안시 동남구,충청남도,천안 상록골프장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=04a26b1f-067f-4538-ae76-4f69c6183b04,레포츠,육상 레포츠,골프,301
천안시 동남구,충청남도,광덕산 관광농원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9bcd0967-78ac-4b23-aa78-74d38748e550,인문(문화/예술/역사),산업관광지,기타,293
천안시 동남구,충청남도,미나릿길벽화마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=022bfa4d-0d9d-4689-9040-cf31a0e8d1a4,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,284
천안시 동남구,충청남도,유관순열사생가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5411d413-a9c7-48b7-ac63-e949ee962615,인문(문화/예술/역사),역사관광지,생가,284
천안시 동남구,충청남도,천안삼거리공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cefa9f4d-3232-42c0-b4a0-9d880e72bbf5,인문(문화/예술/역사),휴양관광지,공원,284
천안시 동남구,충청남도,우정힐스CC,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=234a01e5-abc7-4681-bb19-fd5ed3b9648e,레포츠,육상 레포츠,골프,273
천안시 동남구,충청남도,태학산 치유의 숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=50588331-d0fc-4fc9-bc8e-11048a59af97,자연,자연관광지,산,266
천안시 동남구,충청남도,소노벨 천안,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0b0b781d-8ae8-4332-8d29-324367fa6596,숙박,숙박시설,콘도미니엄,260
천안시 동남구,충청남도,아라리오갤러리 천안,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=59e3ea96-74a0-4323-b24b-0ea45887b919,인문(문화/예술/역사),문화시설,미술관/화랑,259
천안시 동남구,충청남도,포니벨라,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=32355228-08d7-476f-9195-359f8aec3a1e,음식,음식점,카페/전통찻집,255
천안시 동남구,충청남도,충청남도교육청학생교육문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3b287fce-a272-4c8c-9001-35172d2b1e62,인문(문화/예술/역사),문화시설,공연장,246
천안시 동남구,충청남도,풍세관광농원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=59dd7372-7686-4989-b6cb-793da77440bb,인문(문화/예술/역사),휴양관광지,테마공원,237
천안시 동남구,충청남도,조병옥박사 생가지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=350acdff-b71d-4e73-a77b-9734906b7a22,인문(문화/예술/역사),역사관광지,생가,234
천안시 동남구,충청남도,천안역전시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bc1462c7-9a51-4f74-ac96-0581490843e7,쇼핑,쇼핑,상설시장,230
천안시 동남구,충청남도,한민족역사문화공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=abd94b1e-d9ed-49f8-b0c0-78d9377117fd,인문(문화/예술/역사),휴양관광지,공원,226
천안시 동남구,충청남도,유관순열사기념관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=203263a6-ffbe-4e08-8ae1-5a90e0710ab3,인문(문화/예술/역사),문화시설,기념관,221
천안시 동남구,충청남도,박문수묘,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fbf94247-7655-4872-b8a2-f0e7c9f508c4,인문(문화/예술/역사),역사관광지,유적지/사적지,214
천안시 동남구,충청남도,흑성산성,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7556cd74-1251-446d-802f-e41d6712092e,인문(문화/예술/역사),역사관광지,성,208
천안시 동남구,충청남도,천진,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=013f4d4e-411f-46df-a639-efc2c814ea6e,음식,음식점,중식,207
천안시 동남구,충청남도,이우철한방누룽지삼계탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9e5983ac-daf1-4044-8dd2-e1d27a902014,음식,음식점,한식,195
천안시 동남구,충청남도,앤블가옥,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8eabebf7-3d13-4109-ac0e-4c8153f1743b,인문(문화/예술/역사),문화시설,대형서점,194
천안시 동남구,충청남도,천안타운홀,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e70e18b6-9374-4c98-8709-07606dbf830c,음식,음식점,카페/전통찻집,191
천안시 동남구,충청남도,호두나무캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5b5e5aa5-9150-42e3-b042-b970fed32790,레포츠,육상 레포츠,야영장_오토캠핑장,181
천안시 동남구,충청남도,산울림펜션,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=472ed3f6-d0d9-4d43-af1f-d2d641aed77d,숙박,숙박시설,펜션,180
천안시 동남구,충청남도,상록리조트 눈썰매장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cf2c99a5-a4e5-469d-a97f-ac658f70563e,레포츠,육상 레포츠,썰매장,177
천안시 동남구,충청남도,에스글램핑,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4fef76c7-b331-4d5f-95de-ba5f2301861e,레포츠,육상 레포츠,야영장_오토캠핑장,167
천안시 동남구,충청남도,주니어천문스쿨 천안점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=14628605-5753-453d-a0d5-886079f65cc7,자연,자연관광지,자연생태관광지,165
천안시 동남구,충청남도,검계서원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bb6b0ba3-de7b-47f1-8113-4767705b0e92,인문(문화/예술/역사),역사관광지,유적지/사적지,164
천안시 동남구,충청남도,점핑고,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=41888d62-083a-45b4-ba79-f3794f173edc,인문(문화/예술/역사),체험관광지,이색체험,153
천안시 동남구,충청남도,쥬쥬피아,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f8d0ef38-76e8-4798-ae95-696e51cdea1a,인문(문화/예술/역사),휴양관광지,테마공원,148
천안시 동남구,충청남도,아우내독립만세운동기념공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ae7d0e5c-6e1d-486b-9276-a37173d5a2af,인문(문화/예술/역사),휴양관광지,공원,145
천안시 동남구,충청남도,천안홍대용과학관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=68ee16d9-bac4-4678-abf7-49723dd5c721,인문(문화/예술/역사),문화시설,전시관,143
천안시 동남구,충청남도,승천사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8f0abaf2-dcce-4e8d-9c46-8d89dc716091,인문(문화/예술/역사),역사관광지,사찰,141
천안시 동남구,충청남도,이동녕선생 생가지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a747566f-cb65-40a8-bd96-d648ec5be8c0,인문(문화/예술/역사),역사관광지,생가,137
천안시 동남구,충청남도,진성참숯석갈비병천수제순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4f7bd366-561e-44f0-8944-1752fbafe241,음식,음식점,한식,136
천안시 동남구,충청남도,리각미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0309e7ff-555c-4bf2-9eb2-f6b9d756c316,인문(문화/예술/역사),문화시설,미술관/화랑,131
천안시 동남구,충청남도,천안OK캠핑,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7b30c7ce-9a4f-4aee-ab2a-2baa862684f3,레포츠,육상 레포츠,야영장_오토캠핑장,131
천안시 동남구,충청남도,박순자 아우내순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=85fc867b-02f0-471b-a968-55132a0a3186,음식,음식점,한식,129
천안시 동남구,충청남도,위례산과 위례성지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c20f688f-167c-4a1c-a57a-b9c7690a4444,인문(문화/예술/역사),역사관광지,성,129
천안시 동남구,충청남도,흑성산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=36015232-5ed2-46c2-988b-d746576e0811,자연,자연관광지,산,128
천안시 동남구,충청남도,서리실힐링가족캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2f144207-9cb4-43be-9945-0664e01fe142,레포츠,육상 레포츠,야영장_오토캠핑장,125
천안시 동남구,충청남도,진성석갈비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=de532be7-a6b6-43e2-b1cb-33908d20872d,음식,음식점,한식,119
천안시 동남구,충청남도,병천 쌍둥이네 순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6452711e-80c8-4809-867c-825b216fd577,음식,음식점,한식,118
천안시 동남구,충청남도,태조석갈비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=271b2c63-099c-49cc-b8bd-9d25edab62b6,음식,음식점,한식,117
천안시 동남구,충청남도,할리우드카페,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=15755c36-25bb-41a1-9442-d424ed477bf9,음식,음식점,카페/전통찻집,114
천안시 동남구,충청남도,먹거리순대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ed39ae46-8ed5-4ae1-8d36-8fc2be1adbdc,음식,음식점,한식,109
천안시 동남구,충청남도,청화집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=06b2df94-881f-4bb2-995e-95cd1f456b6f,음식,음식점,한식,106
천안시 동남구,충청남도,누리마루숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88347f6c-8511-4daf-8b0a-38bbdd1e7400,인문(문화/예술/역사),산업관광지,기타,105
천안시 동남구,충청남도,천안 두아람마을 [농촌전통테마],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0cd836a2-f64d-4288-a03f-6234e7356f18,인문(문화/예술/역사),체험관광지,전통체험,105
천안시 동남구,충청남도,카페목천,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9ac4bb8f-2416-4fa5-8872-8414139fd8ff,음식,음식점,카페/전통찻집,105
천안시 동남구,충청남도,밥상차려주는집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6362350c-7d5c-4033-90a3-588dfe2507dc,음식,음식점,한식,100
천안시 동남구,충청남도,도솔광장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=87577312-048d-44c4-96d0-3c97b05d6d92,인문(문화/예술/역사),휴양관광지,공원,100
천안시 동남구,충청남도,영남루(천안),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7e76f6f2-0f61-409a-9305-c04718e1c95f,인문(문화/예술/역사),역사관광지,유적지/사적지,97
천안시 동남구,충청남도,광덕산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3f98020b-87bc-42de-8646-682fd85b9654,자연,자연관광지,산,89
천안시 동남구,충청남도,다인캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=22e33067-75a0-4f4b-b684-3b4047462afb,레포츠,육상 레포츠,야영장_오토캠핑장,88
천안시 동남구,충청남도,히흣 도예공방,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=81603691-4ee1-4eee-b77a-1e733f1fe278,쇼핑,쇼핑,공예/공방,87
천안시 동남구,충청남도,고령박씨종중재실,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=53e9b97a-0408-4771-8926-b10b6bad6a05,인문(문화/예술/역사),역사관광지,유적지/사적지,86
천안시 동남구,충청남도,모텔라마다,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0bbb9c2c-02e0-4f34-a13b-98b0b082a69c,숙박,숙박시설,모텔,85
천안시 동남구,충청남도,에벤에셀 펜션,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b2a4593c-083e-49be-bfd7-6611a3def5d8,숙박,숙박시설,펜션,85
천안시 동남구,충청남도,누리마루숲(카페 카프닉),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88347f6c-8511-4daf-8b0a-38bbdd1e7400,인문(문화/예술/역사),체험관광지,이색체험,84
천안시 동남구,충청남도,꽃분이네애견카페,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=080d6199-a371-4b86-901c-da115cec0abb,음식,음식점,카페/전통찻집,83
천안시 동남구,충청남도,갈재산장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b79b7823-6a97-41c4-96d3-43fed263c8c6,음식,음식점,한식,81
천안시 동남구,충청남도,이고집만두,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=317c6123-e13e-42f0-8f92-c956b08c4f42,음식,음식점,한식,80
천안시 동남구,충청남도,진면가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=afdb80f3-c487-43ba-8be5-d374b68d9968,음식,음식점,한식,79
천안시 동남구,충청남도,카페온담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fc72c431-24f6-4fed-a396-5572509d4297,음식,음식점,카페/전통찻집,79
천안시 동남구,충청남도,풍세관광농원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=59dd7372-7686-4989-b6cb-793da77440bb,자연,자연관광지,자연생태관광지,79
