언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중번체,천안시 서북구,충청남도,嗜?the辣燉排骨(기린더매운갈비찜),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2670255,음식,음식점,한식,43
중번체,천안시 서북구,충청남도,Galleria百貨公司(Center city店)(갤러리아 백화점 (센터시티점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=986638,쇼핑,쇼핑,백화점,36
중번체,천안시 서북구,충청남도,從山上摘的?菜飯(산이내린밥상곤드레밥집),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2670234,음식,음식점,한식,11
중번체,천안시 서북구,충청남도,BBANGARTGAN(빵아트간),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2670312,음식,음식점,카페/전통찻집,2
