주소,위도,경도
충남 천안시 동남구 만남의길 19-10,0,0
충남 천안시 동남구 해사동길 15,0,0
충남 천안시 동남구 신부2길 31,0,0
충남 천안시 동남구 광풍로 703-38,0,0
충남 천안시 동남구 덕성1길 147,0,0
