언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,천안시 동남구,충청남도,天安 ?立記念館（천안 독립기념관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1086177,인문(문화/예술/역사),문화시설,기념관,1151
일본어,천안시 동남구,충청남도,?願寺（각원사）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282103,인문(문화/예술/역사),역사관광지,사찰,28
일본어,천안시 동남구,충청남도,??寺（天安）（광덕사（천안））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282104,인문(문화/예술/역사),역사관광지,사찰,22
일본어,천안시 동남구,충청남도,韓民族?史文化公園（한민족역사문화공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2363033,인문(문화/예술/역사),휴양관광지,공원,15
일본어,천안시 동남구,충청남도,SONO Belle天安オ?シャンアドベンチャ?（소노벨 천안 오션어드벤처）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1143550,인문(문화/예술/역사),휴양관광지,테마공원,12
일본어,천안시 동남구,충청남도,トゥルコッ（들꽃）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=942155,음식,음식점,한식,2
일본어,천안시 동남구,충청남도,常?アクアピア（상록아쿠아피아）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282136,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,1
