업종명,기준년도,상위업종명,영업현황수
전체,2024,전체,144
전체,2024,여행업,83
국내외여행업,2024,여행업,42
국내여행업,2024,여행업,32
종합여행업,2024,여행업,9
전체,2024,관광객 이용시설업,34
일반야영장업,2024,관광객 이용시설업,22
자동차야영장업,2024,관광객 이용시설업,7
종합휴양업,2024,관광객 이용시설업,2
전문휴양업,2024,관광객 이용시설업,2
외국인관광도시민박업,2024,관광객 이용시설업,1
전체,2024,유원시설업,22
유원시설업(기타),2024,유원시설업,17
일반유원시설업,2024,유원시설업,3
종합유원시설업,2024,유원시설업,2
전체,2024,관광숙박업,3
가족호텔업,2024,관광숙박업,1
관광호텔업,2024,관광숙박업,1
휴양콘도미니엄업,2024,관광숙박업,1
전체,2024,관광편의 시설업,2
관광극장유흥업,2024,관광편의 시설업,1
한옥체험업,2024,관광편의 시설업,1
